times,trades
2017-03-27 12:10:55,-100.0
2017-03-27 12:10:56,100.0
2017-03-27 12:10:57,100.0
2017-03-27 12:10:58,0.0
2017-03-27 12:10:59,-100.0
2017-03-27 12:11:00,-100.0
2017-03-27 12:11:01,0.0
2017-03-27 12:11:02,100.0
2017-03-27 12:11:03,-100.0
2017-03-27 12:11:04,0.0
2017-03-27 12:11:05,0.0
2017-03-27 12:11:06,0.0
2017-03-27 12:11:07,0.0
2017-03-27 12:11:08,100.0
2017-03-27 12:11:09,-100.0
2017-03-27 12:11:10,100.0
2017-03-27 12:11:11,-100.0
2017-03-27 12:11:12,0.0
2017-03-27 12:11:13,100.0
2017-03-27 12:11:14,100.0
2017-03-27 12:11:15,-100.0
2017-03-27 12:11:16,100.0
2017-03-27 12:11:17,-100.0
2017-03-27 12:11:18,100.0
2017-03-27 12:11:19,-100.0
2017-03-27 12:11:20,-100.0
2017-03-27 12:11:21,100.0
2017-03-27 12:11:22,-100.0
2017-03-27 12:11:23,0.0
2017-03-27 12:11:24,100.0
2017-03-27 12:11:25,100.0
2017-03-27 12:11:26,-100.0
2017-03-27 12:11:27,-100.0
2017-03-27 12:11:28,100.0
2017-03-27 12:11:29,-100.0
2017-03-27 12:11:30,100.0
2017-03-27 12:11:31,100.0
2017-03-27 12:11:32,-100.0
2017-03-27 12:11:33,-100.0
2017-03-27 12:11:34,0.0
2017-03-27 12:11:35,100.0
2017-03-27 12:11:36,-100.0
2017-03-27 12:11:37,0.0
2017-03-27 12:11:38,0.0
2017-03-27 12:11:39,0.0
2017-03-27 12:11:40,0.0
2017-03-27 12:11:41,0.0
2017-03-27 12:11:42,0.0
2017-03-27 12:11:43,0.0
2017-03-27 12:11:44,100.0
2017-03-27 12:11:45,-100.0
2017-03-27 12:11:46,100.0
2017-03-27 12:11:47,-100.0
2017-03-27 12:11:48,0.0
2017-03-27 12:11:49,0.0
2017-03-27 12:11:50,0.0
2017-03-27 12:11:51,100.0
2017-03-27 12:11:52,100.0
2017-03-27 12:11:53,0.0
2017-03-27 12:11:54,0.0
2017-03-27 12:11:55,-100.0
2017-03-27 12:11:56,-100.0
2017-03-27 12:11:57,0.0
2017-03-27 12:11:58,100.0
2017-03-27 12:11:59,-100.0
2017-03-27 12:12:00,100.0
2017-03-27 12:12:01,-100.0
2017-03-27 12:12:02,0.0
2017-03-27 12:12:03,0.0
2017-03-27 12:12:04,0.0
2017-03-27 12:12:05,0.0
2017-03-27 12:12:06,100.0
2017-03-27 12:12:07,100.0
2017-03-27 12:12:08,-100.0
2017-03-27 12:12:09,100.0
2017-03-27 12:12:10,-100.0
2017-03-27 12:12:11,100.0
2017-03-27 12:12:12,0.0
2017-03-27 12:12:13,0.0
2017-03-27 12:12:14,-100.0
2017-03-27 12:12:15,100.0
2017-03-27 12:12:16,-100.0
2017-03-27 12:12:17,100.0
2017-03-27 12:12:18,0.0
2017-03-27 12:12:19,0.0
2017-03-27 12:12:20,-100.0
2017-03-27 12:12:21,-100.0
2017-03-27 12:12:22,100.0
2017-03-27 12:12:23,100.0
2017-03-27 12:12:24,-100.0
2017-03-27 12:12:25,-100.0
2017-03-27 12:12:26,100.0
2017-03-27 12:12:27,-100.0
2017-03-27 12:12:28,100.0
2017-03-27 12:12:29,100.0
2017-03-27 12:12:30,-100.0
2017-03-27 12:12:31,-100.0
2017-03-27 12:12:32,100.0
2017-03-27 12:12:33,-100.0
2017-03-27 12:12:34,100.0
2017-03-27 12:12:35,100.0
2017-03-27 12:12:36,0.0
2017-03-27 12:12:37,-100.0
2017-03-27 12:12:38,100.0
2017-03-27 12:12:39,0.0
2017-03-27 12:12:40,0.0
2017-03-27 12:12:41,0.0
2017-03-27 12:12:42,0.0
2017-03-27 12:12:43,0.0
2017-03-27 12:12:44,-100.0
2017-03-27 12:12:45,100.0
2017-03-27 12:12:46,-100.0
2017-03-27 12:12:47,-100.0
2017-03-27 12:12:48,100.0
2017-03-27 12:12:49,-100.0
2017-03-27 12:12:50,0.0
2017-03-27 12:12:51,100.0
2017-03-27 12:12:52,100.0
2017-03-27 12:12:53,0.0
2017-03-27 12:12:54,-100.0
2017-03-27 12:12:55,-100.0
2017-03-27 12:12:56,100.0
2017-03-27 12:12:57,-100.0
2017-03-27 12:12:58,100.0
2017-03-27 12:12:59,-100.0
2017-03-27 12:13:00,100.0
2017-03-27 12:13:01,100.0
2017-03-27 12:13:02,0.0
2017-03-27 12:13:03,0.0
2017-03-27 12:13:04,-100.0
2017-03-27 12:13:05,100.0
2017-03-27 12:13:06,-100.0
2017-03-27 12:13:07,-100.0
2017-03-27 12:13:08,0.0
2017-03-27 12:13:09,100.0
2017-03-27 12:13:10,-100.0
2017-03-27 12:13:11,100.0
2017-03-27 12:13:12,100.0
2017-03-27 12:13:13,-100.0
2017-03-27 12:13:14,-100.0
2017-03-27 12:13:15,100.0
2017-03-27 12:13:16,100.0
2017-03-27 12:13:17,-100.0
2017-03-27 12:13:18,100.0
2017-03-27 12:13:19,0.0
2017-03-27 12:13:20,0.0
2017-03-27 12:13:21,0.0
2017-03-27 12:13:22,-100.0
2017-03-27 12:13:23,-100.0
2017-03-27 12:13:24,100.0
2017-03-27 12:13:25,100.0
2017-03-27 12:13:26,-100.0
2017-03-27 12:13:27,100.0
2017-03-27 12:13:28,0.0
2017-03-27 12:13:29,0.0
2017-03-27 12:13:30,-100.0
2017-03-27 12:13:31,-100.0
2017-03-27 12:13:32,100.0
2017-03-27 12:13:33,-100.0
2017-03-27 12:13:34,100.0
2017-03-27 12:13:35,100.0
2017-03-27 12:13:36,0.0
2017-03-27 12:13:37,0.0
2017-03-27 12:13:38,0.0
2017-03-27 12:13:39,-100.0
2017-03-27 12:13:40,-100.0
2017-03-27 12:13:41,0.0
2017-03-27 12:13:42,100.0
2017-03-27 12:13:43,100.0
2017-03-27 12:13:44,0.0
2017-03-27 12:13:45,-100.0
2017-03-27 12:13:46,-100.0
2017-03-27 12:13:47,100.0
2017-03-27 12:13:48,100.0
2017-03-27 12:13:49,-100.0
2017-03-27 12:13:50,100.0
2017-03-27 12:13:51,0.0
2017-03-27 12:13:52,-100.0
2017-03-27 12:13:53,-100.0
2017-03-27 12:13:54,0.0
2017-03-27 12:13:55,0.0
2017-03-27 12:13:56,100.0
2017-03-27 12:13:57,-100.0
2017-03-27 12:13:58,0.0
2017-03-27 12:13:59,100.0
2017-03-27 12:14:00,-100.0
2017-03-27 12:14:01,100.0
2017-03-27 12:14:02,-100.0
2017-03-27 12:14:03,100.0
2017-03-27 12:14:04,-100.0
2017-03-27 12:14:05,0.0
2017-03-27 12:14:06,0.0
2017-03-27 12:14:07,100.0
2017-03-27 12:14:08,-100.0
2017-03-27 12:14:09,0.0
2017-03-27 12:14:10,100.0
2017-03-27 12:14:11,-100.0
2017-03-27 12:14:12,0.0
2017-03-27 12:14:13,0.0
2017-03-27 12:14:14,0.0
2017-03-27 12:14:15,0.0
2017-03-27 12:14:16,100.0
2017-03-27 12:14:17,-100.0
2017-03-27 12:14:18,100.0
2017-03-27 12:14:19,-100.0
2017-03-27 12:14:20,100.0
2017-03-27 12:14:21,100.0
2017-03-27 12:14:22,-100.0
2017-03-27 12:14:23,-100.0
2017-03-27 12:14:24,0.0
2017-03-27 12:14:25,0.0
2017-03-27 12:14:26,100.0
2017-03-27 12:14:27,-100.0
2017-03-27 12:14:28,0.0
2017-03-27 12:14:29,0.0
2017-03-27 12:14:30,0.0
2017-03-27 12:14:31,100.0
2017-03-27 12:14:32,-100.0
2017-03-27 12:14:33,100.0
2017-03-27 12:14:34,-100.0
2017-03-27 12:14:35,100.0
2017-03-27 12:14:36,100.0
2017-03-27 12:14:37,0.0
2017-03-27 12:14:38,0.0
2017-03-27 12:14:39,0.0
2017-03-27 12:14:40,0.0
2017-03-27 12:14:41,-100.0
2017-03-27 12:14:42,100.0
2017-03-27 12:14:43,0.0
2017-03-27 12:14:44,-100.0
2017-03-27 12:14:45,-100.0
2017-03-27 12:14:46,100.0
2017-03-27 12:14:47,-100.0
2017-03-27 12:14:48,0.0
2017-03-27 12:14:49,100.0
2017-03-27 12:14:50,100.0
2017-03-27 12:14:51,0.0
2017-03-27 12:14:52,0.0
2017-03-27 12:14:53,-100.0
2017-03-27 12:14:54,-100.0
2017-03-27 12:14:55,0.0
2017-03-27 12:14:56,100.0
2017-03-27 12:14:57,100.0
2017-03-27 12:14:58,-100.0
2017-03-27 12:14:59,-100.0
2017-03-27 12:15:00,100.0
2017-03-27 12:15:01,-100.0
2017-03-27 12:15:02,0.0
2017-03-27 12:15:03,100.0
2017-03-27 12:15:04,100.0
2017-03-27 12:15:05,0.0
2017-03-27 12:15:06,0.0
2017-03-27 12:15:07,0.0
2017-03-27 12:15:08,0.0
2017-03-27 12:15:09,0.0
2017-03-27 12:15:10,0.0
2017-03-27 12:15:11,-100.0
2017-03-27 12:15:12,-100.0
2017-03-27 12:15:13,100.0
2017-03-27 12:15:14,100.0
2017-03-27 12:15:15,0.0
2017-03-27 12:15:16,-100.0
2017-03-27 12:15:17,100.0
2017-03-27 12:15:18,-100.0
2017-03-27 12:15:19,-100.0
2017-03-27 12:15:20,0.0
2017-03-27 12:15:21,0.0
2017-03-27 12:15:22,100.0
2017-03-27 12:15:23,-100.0
2017-03-27 12:15:24,0.0
2017-03-27 12:15:25,0.0
2017-03-27 12:15:26,100.0
2017-03-27 12:15:27,100.0
2017-03-27 12:15:28,0.0
2017-03-27 12:15:29,0.0
2017-03-27 12:15:30,0.0
2017-03-27 12:15:31,-100.0
2017-03-27 12:15:32,-100.0
2017-03-27 12:15:33,0.0
2017-03-27 12:15:34,0.0
2017-03-27 12:15:35,0.0
2017-03-27 12:15:36,100.0
2017-03-27 12:15:37,100.0
2017-03-27 12:15:38,0.0
2017-03-27 12:15:39,-100.0
2017-03-27 12:15:40,100.0
2017-03-27 12:15:41,0.0
2017-03-27 12:15:42,0.0
2017-03-27 12:15:43,-100.0
2017-03-27 12:15:44,100.0
2017-03-27 12:15:45,0.0
2017-03-27 12:15:46,-100.0
2017-03-27 12:15:47,100.0
2017-03-27 12:15:48,0.0
2017-03-27 12:15:49,0.0
2017-03-27 12:15:50,0.0
2017-03-27 12:15:51,-100.0
2017-03-27 12:15:52,100.0
2017-03-27 12:15:53,0.0
2017-03-27 12:15:54,-100.0
2017-03-27 12:15:55,-100.0
2017-03-27 12:15:56,100.0
2017-03-27 12:15:57,100.0
2017-03-27 12:15:58,0.0
2017-03-27 12:15:59,0.0
2017-03-27 12:16:00,-100.0
2017-03-27 12:16:01,-100.0
2017-03-27 12:16:02,100.0
2017-03-27 12:16:03,-100.0
2017-03-27 12:16:04,0.0
2017-03-27 12:16:05,100.0
2017-03-27 12:16:06,100.0
2017-03-27 12:16:07,0.0
2017-03-27 12:16:08,0.0
2017-03-27 12:16:09,0.0
2017-03-27 12:16:10,-100.0
2017-03-27 12:16:11,100.0
2017-03-27 12:16:12,-100.0
2017-03-27 12:16:13,-100.0
2017-03-27 12:16:14,100.0
2017-03-27 12:16:15,100.0
2017-03-27 12:16:16,0.0
2017-03-27 12:16:17,0.0
2017-03-27 12:16:18,-100.0
2017-03-27 12:16:19,100.0
2017-03-27 12:16:20,0.0
2017-03-27 12:16:21,-100.0
2017-03-27 12:16:22,100.0
2017-03-27 12:16:23,-100.0
2017-03-27 12:16:24,-100.0
2017-03-27 12:16:25,0.0
2017-03-27 12:16:26,0.0
2017-03-27 12:16:27,0.0
2017-03-27 12:16:28,0.0
2017-03-27 12:16:29,0.0
2017-03-27 12:16:30,0.0
2017-03-27 12:16:31,0.0
2017-03-27 12:16:32,100.0
2017-03-27 12:16:33,-100.0
2017-03-27 12:16:34,0.0
2017-03-27 12:16:35,100.0
2017-03-27 12:16:36,100.0
2017-03-27 12:16:37,0.0
2017-03-27 12:16:38,0.0
2017-03-27 12:16:39,0.0
2017-03-27 12:16:40,-100.0
2017-03-27 12:16:41,-100.0
2017-03-27 12:16:42,100.0
2017-03-27 12:16:43,-100.0
2017-03-27 12:16:44,0.0
2017-03-27 12:16:45,100.0
2017-03-27 12:16:46,-100.0
2017-03-27 12:16:47,0.0
2017-03-27 12:16:48,0.0
2017-03-27 12:16:49,100.0
2017-03-27 12:16:50,-100.0
2017-03-27 12:16:51,0.0
2017-03-27 12:16:52,0.0
2017-03-27 12:16:53,100.0
2017-03-27 12:16:54,100.0
2017-03-27 12:16:55,0.0
2017-03-27 12:16:56,0.0
2017-03-27 12:16:57,0.0
2017-03-27 12:16:58,-100.0
2017-03-27 12:16:59,100.0
2017-03-27 12:17:00,-100.0
2017-03-27 12:17:01,100.0
2017-03-27 12:17:02,-100.0
2017-03-27 12:17:03,100.0
2017-03-27 12:17:04,0.0
2017-03-27 12:17:05,-100.0
2017-03-27 12:17:06,100.0
2017-03-27 12:17:07,0.0
2017-03-27 12:17:08,-100.0
2017-03-27 12:17:09,100.0
2017-03-27 12:17:10,0.0
2017-03-27 12:17:11,0.0
2017-03-27 12:17:12,0.0
2017-03-27 12:17:13,0.0
2017-03-27 12:17:14,0.0
2017-03-27 12:17:15,0.0
2017-03-27 12:17:16,-100.0
2017-03-27 12:17:17,-100.0
2017-03-27 12:17:18,0.0
2017-03-27 12:17:19,0.0
2017-03-27 12:17:20,0.0
2017-03-27 12:17:21,100.0
2017-03-27 12:17:22,-100.0
2017-03-27 12:17:23,0.0
2017-03-27 12:17:24,0.0
2017-03-27 12:17:25,100.0
2017-03-27 12:17:26,100.0
2017-03-27 12:17:27,-100.0
2017-03-27 12:17:28,100.0
2017-03-27 12:17:29,-100.0
2017-03-27 12:17:30,-100.0
2017-03-27 12:17:31,0.0
2017-03-27 12:17:32,0.0
2017-03-27 12:17:33,0.0
2017-03-27 12:17:34,0.0
2017-03-27 12:17:35,0.0
2017-03-27 12:17:36,100.0
2017-03-27 12:17:37,100.0
2017-03-27 12:17:38,0.0
2017-03-27 12:17:39,-100.0
2017-03-27 12:17:40,100.0
2017-03-27 12:17:41,-100.0
2017-03-27 12:17:42,100.0
2017-03-27 12:17:43,0.0
2017-03-27 12:17:44,-100.0
2017-03-27 12:17:45,100.0
2017-03-27 12:17:46,-100.0
2017-03-27 12:17:47,-100.0
2017-03-27 12:17:48,0.0
2017-03-27 12:17:49,100.0
2017-03-27 12:17:50,-100.0
2017-03-27 12:17:51,100.0
2017-03-27 12:17:52,-100.0
2017-03-27 12:17:53,0.0
2017-03-27 12:17:54,100.0
2017-03-27 12:17:55,-100.0
2017-03-27 12:17:56,0.0
2017-03-27 12:17:57,100.0
2017-03-27 12:17:58,100.0
2017-03-27 12:17:59,0.0
2017-03-27 12:18:00,0.0
2017-03-27 12:18:01,-100.0
2017-03-27 12:18:02,100.0
2017-03-27 12:18:03,-100.0
2017-03-27 12:18:04,-100.0
2017-03-27 12:18:05,0.0
2017-03-27 12:18:06,100.0
2017-03-27 12:18:07,100.0
2017-03-27 12:18:08,0.0
2017-03-27 12:18:09,0.0
2017-03-27 12:18:10,-100.0
2017-03-27 12:18:11,-100.0
2017-03-27 12:18:12,100.0
2017-03-27 12:18:13,100.0
2017-03-27 12:18:14,0.0
2017-03-27 12:18:15,-100.0
2017-03-27 12:18:16,-100.0
2017-03-27 12:18:17,0.0
2017-03-27 12:18:18,100.0
2017-03-27 12:18:19,-100.0
2017-03-27 12:18:20,100.0
2017-03-27 12:18:21,-100.0
2017-03-27 12:18:22,100.0
2017-03-27 12:18:23,100.0
2017-03-27 12:18:24,-100.0
2017-03-27 12:18:25,100.0
2017-03-27 12:18:26,0.0
2017-03-27 12:18:27,0.0
2017-03-27 12:18:28,0.0
2017-03-27 12:18:29,0.0
2017-03-27 12:18:30,-100.0
2017-03-27 12:18:31,-100.0
2017-03-27 12:18:32,100.0
2017-03-27 12:18:33,-100.0
2017-03-27 12:18:34,0.0
2017-03-27 12:18:35,0.0
2017-03-27 12:18:36,100.0
2017-03-27 12:18:37,-100.0
2017-03-27 12:18:38,0.0
2017-03-27 12:18:39,100.0
2017-03-27 12:18:40,100.0
2017-03-27 12:18:41,0.0
2017-03-27 12:18:42,-100.0
2017-03-27 12:18:43,-100.0
2017-03-27 12:18:44,100.0
2017-03-27 12:18:45,100.0
2017-03-27 12:18:46,-100.0
2017-03-27 12:18:47,100.0
2017-03-27 12:18:48,-100.0
2017-03-27 12:18:49,100.0
2017-03-27 12:18:50,0.0
2017-03-27 12:18:51,-100.0
2017-03-27 12:18:52,-100.0
2017-03-27 12:18:53,100.0
2017-03-27 12:18:54,100.0
2017-03-27 12:18:55,0.0
2017-03-27 12:18:56,-100.0
2017-03-27 12:18:57,100.0
2017-03-27 12:18:58,0.0
2017-03-27 12:18:59,-100.0
2017-03-27 12:19:00,100.0
2017-03-27 12:19:01,0.0
2017-03-27 12:19:02,0.0
2017-03-27 12:19:03,-100.0
2017-03-27 12:19:04,100.0
2017-03-27 12:19:05,-100.0
2017-03-27 12:19:06,100.0
2017-03-27 12:19:07,-100.0
2017-03-27 12:19:08,-100.0
2017-03-27 12:19:09,0.0
2017-03-27 12:19:10,0.0
2017-03-27 12:19:11,0.0
2017-03-27 12:19:12,100.0
2017-03-27 12:19:13,100.0
2017-03-27 12:19:14,-100.0
2017-03-27 12:19:15,100.0
2017-03-27 12:19:16,0.0
2017-03-27 12:19:17,0.0
2017-03-27 12:19:18,-100.0
2017-03-27 12:19:19,100.0
2017-03-27 12:19:20,0.0
2017-03-27 12:19:21,0.0
2017-03-27 12:19:22,-100.0
2017-03-27 12:19:23,100.0
2017-03-27 12:19:24,0.0
2017-03-27 12:19:25,-100.0
2017-03-27 12:19:26,100.0
2017-03-27 12:19:27,-100.0
2017-03-27 12:19:28,100.0
2017-03-27 12:19:29,0.0
2017-03-27 12:19:30,0.0
2017-03-27 12:19:31,0.0
2017-03-27 12:19:32,-100.0
2017-03-27 12:19:33,100.0
2017-03-27 12:19:34,-100.0
2017-03-27 12:19:35,-100.0
2017-03-27 12:19:36,0.0
2017-03-27 12:19:37,0.0
2017-03-27 12:19:38,100.0
2017-03-27 12:19:39,-100.0
2017-03-27 12:19:40,100.0
2017-03-27 12:19:41,100.0
2017-03-27 12:19:42,0.0
2017-03-27 12:19:43,-100.0
2017-03-27 12:19:44,-100.0
2017-03-27 12:19:45,0.0
2017-03-27 12:19:46,100.0
2017-03-27 12:19:47,100.0
2017-03-27 12:19:48,0.0
2017-03-27 12:19:49,-100.0
2017-03-27 12:19:50,100.0
2017-03-27 12:19:51,0.0
2017-03-27 12:19:52,-100.0
2017-03-27 12:19:53,-100.0
2017-03-27 12:19:54,0.0
2017-03-27 12:19:55,0.0
2017-03-27 12:19:56,100.0
2017-03-27 12:19:57,100.0
2017-03-27 12:19:58,-100.0
2017-03-27 12:19:59,100.0
2017-03-27 12:20:00,0.0
2017-03-27 12:20:01,0.0
2017-03-27 12:20:02,-100.0
2017-03-27 12:20:03,100.0
2017-03-27 12:20:04,0.0
2017-03-27 12:20:05,0.0
2017-03-27 12:20:06,-100.0
2017-03-27 12:20:07,100.0
2017-03-27 12:20:08,0.0
2017-03-27 12:20:09,0.0
2017-03-27 12:20:10,-100.0
2017-03-27 12:20:11,-100.0
2017-03-27 12:20:12,100.0
2017-03-27 12:20:13,100.0
2017-03-27 12:20:14,0.0
2017-03-27 12:20:15,0.0
2017-03-27 12:20:16,-100.0
2017-03-27 12:20:17,100.0
2017-03-27 12:20:18,0.0
2017-03-27 12:20:19,-100.0
2017-03-27 12:20:20,100.0
2017-03-27 12:20:21,-100.0
2017-03-27 12:20:22,-100.0
2017-03-27 12:20:23,100.0
2017-03-27 12:20:24,100.0
2017-03-27 12:20:25,0.0
2017-03-27 12:20:26,-100.0
2017-03-27 12:20:27,-100.0
2017-03-27 12:20:28,0.0
2017-03-27 12:20:29,0.0
2017-03-27 12:20:30,100.0
2017-03-27 12:20:31,100.0
2017-03-27 12:20:32,-100.0
2017-03-27 12:20:33,-100.0
2017-03-27 12:20:34,100.0
2017-03-27 12:20:35,100.0
2017-03-27 12:20:36,0.0
2017-03-27 12:20:37,-100.0
2017-03-27 12:20:38,-100.0
2017-03-27 12:20:39,0.0
2017-03-27 12:20:40,100.0
2017-03-27 12:20:41,-100.0
2017-03-27 12:20:42,0.0
2017-03-27 12:20:43,100.0
2017-03-27 12:20:44,-100.0
2017-03-27 12:20:45,0.0
2017-03-27 12:20:46,0.0
2017-03-27 12:20:47,100.0
2017-03-27 12:20:48,100.0
2017-03-27 12:20:49,0.0
2017-03-27 12:20:50,-100.0
2017-03-27 12:20:51,-100.0
2017-03-27 12:20:52,100.0
2017-03-27 12:20:53,100.0
2017-03-27 12:20:54,-100.0
2017-03-27 12:20:55,100.0
2017-03-27 12:20:56,-100.0
2017-03-27 12:20:57,-100.0
2017-03-27 12:20:58,0.0
2017-03-27 12:20:59,0.0
2017-03-27 12:21:00,100.0
2017-03-27 12:21:01,100.0
2017-03-27 12:21:02,0.0
2017-03-27 12:21:03,-100.0
2017-03-27 12:21:04,-100.0
2017-03-27 12:21:05,100.0
2017-03-27 12:21:06,100.0
2017-03-27 12:21:07,0.0
2017-03-27 12:21:08,0.0
2017-03-27 12:21:09,0.0
2017-03-27 12:21:10,0.0
2017-03-27 12:21:11,0.0
2017-03-27 12:21:12,0.0
2017-03-27 12:21:13,0.0
2017-03-27 12:21:14,0.0
2017-03-27 12:21:15,-100.0
2017-03-27 12:21:16,100.0
2017-03-27 12:21:17,-100.0
2017-03-27 12:21:18,-100.0
2017-03-27 12:21:19,100.0
2017-03-27 12:21:20,100.0
2017-03-27 12:21:21,-100.0
2017-03-27 12:21:22,100.0
2017-03-27 12:21:23,0.0
2017-03-27 12:21:24,0.0
2017-03-27 12:21:25,-100.0
2017-03-27 12:21:26,-100.0
2017-03-27 12:21:27,100.0
2017-03-27 12:21:28,100.0
2017-03-27 12:21:29,0.0
2017-03-27 12:21:30,-100.0
2017-03-27 12:21:31,100.0
2017-03-27 12:21:32,-100.0
2017-03-27 12:21:33,100.0
2017-03-27 12:21:34,0.0
2017-03-27 12:21:35,0.0
2017-03-27 12:21:36,-100.0
2017-03-27 12:21:37,100.0
2017-03-27 12:21:38,-100.0
2017-03-27 12:21:39,-100.0
2017-03-27 12:21:40,100.0
2017-03-27 12:21:41,-100.0
2017-03-27 12:21:42,100.0
2017-03-27 12:21:43,100.0
2017-03-27 12:21:44,0.0
2017-03-27 12:21:45,-100.0
2017-03-27 12:21:46,-100.0
2017-03-27 12:21:47,100.0
2017-03-27 12:21:48,100.0
2017-03-27 12:21:49,0.0
2017-03-27 12:21:50,0.0
2017-03-27 12:21:51,0.0
2017-03-27 12:21:52,0.0
2017-03-27 12:21:53,-100.0
2017-03-27 12:21:54,100.0
2017-03-27 12:21:55,0.0
2017-03-27 12:21:56,-100.0
2017-03-27 12:21:57,-100.0
2017-03-27 12:21:58,100.0
2017-03-27 12:21:59,-100.0
2017-03-27 12:22:00,0.0
2017-03-27 12:22:01,0.0
2017-03-27 12:22:02,0.0
2017-03-27 12:22:03,0.0
2017-03-27 12:22:04,100.0
2017-03-27 12:22:05,100.0
2017-03-27 12:22:06,0.0
2017-03-27 12:22:07,-100.0
2017-03-27 12:22:08,-100.0
2017-03-27 12:22:09,100.0
2017-03-27 12:22:10,100.0
2017-03-27 12:22:11,-100.0
2017-03-27 12:22:12,100.0
2017-03-27 12:22:13,-100.0
2017-03-27 12:22:14,-100.0
2017-03-27 12:22:15,0.0
2017-03-27 12:22:16,0.0
2017-03-27 12:22:17,100.0
2017-03-27 12:22:18,100.0
2017-03-27 12:22:19,-100.0
2017-03-27 12:22:20,-100.0
2017-03-27 12:22:21,100.0
2017-03-27 12:22:22,100.0
2017-03-27 12:22:23,0.0
2017-03-27 12:22:24,0.0
2017-03-27 12:22:25,-100.0
2017-03-27 12:22:26,-100.0
2017-03-27 12:22:27,100.0
2017-03-27 12:22:28,-100.0
2017-03-27 12:22:29,100.0
2017-03-27 12:22:30,100.0
2017-03-27 12:22:31,-100.0
2017-03-27 12:22:32,100.0
2017-03-27 12:22:33,0.0
2017-03-27 12:22:34,-100.0
2017-03-27 12:22:35,-100.0
2017-03-27 12:22:36,100.0
2017-03-27 12:22:37,-100.0
2017-03-27 12:22:38,100.0
2017-03-27 12:22:39,-100.0
2017-03-27 12:22:40,0.0
2017-03-27 12:22:41,100.0
2017-03-27 12:22:42,100.0
2017-03-27 12:22:43,-100.0
2017-03-27 12:22:44,100.0
2017-03-27 12:22:45,0.0
2017-03-27 12:22:46,-100.0
2017-03-27 12:22:47,-100.0
2017-03-27 12:22:48,0.0
2017-03-27 12:22:49,0.0
2017-03-27 12:22:50,0.0
2017-03-27 12:22:51,100.0
2017-03-27 12:22:52,-100.0
2017-03-27 12:22:53,0.0
2017-03-27 12:22:54,0.0
2017-03-27 12:22:55,0.0
2017-03-27 12:22:56,0.0
2017-03-27 12:22:57,100.0
2017-03-27 12:22:58,-100.0
2017-03-27 12:22:59,100.0
2017-03-27 12:23:00,-100.0
2017-03-27 12:23:01,100.0
2017-03-27 12:23:02,-100.0
2017-03-27 12:23:03,0.0
2017-03-27 12:23:04,0.0
2017-03-27 12:23:05,0.0
2017-03-27 12:23:06,100.0
2017-03-27 12:23:07,-100.0
2017-03-27 12:23:08,0.0
2017-03-27 12:23:09,0.0
2017-03-27 12:23:10,100.0
2017-03-27 12:23:11,-100.0
2017-03-27 12:23:12,0.0
2017-03-27 12:23:13,0.0
2017-03-27 12:23:14,0.0
2017-03-27 12:23:15,0.0
2017-03-27 12:23:16,100.0
2017-03-27 12:23:17,-100.0
2017-03-27 12:23:18,0.0
2017-03-27 12:23:19,100.0
2017-03-27 12:23:20,-100.0
2017-03-27 12:23:21,100.0
2017-03-27 12:23:22,100.0
2017-03-27 12:23:23,0.0
2017-03-27 12:23:24,-100.0
2017-03-27 12:23:25,-100.0
2017-03-27 12:23:26,0.0
2017-03-27 12:23:27,100.0
2017-03-27 12:23:28,-100.0
2017-03-27 12:23:29,0.0
2017-03-27 12:23:30,0.0
2017-03-27 12:23:31,0.0
2017-03-27 12:23:32,0.0
2017-03-27 12:23:33,100.0
2017-03-27 12:23:34,100.0
2017-03-27 12:23:35,0.0
2017-03-27 12:23:36,-100.0
2017-03-27 12:23:37,100.0
2017-03-27 12:23:38,-100.0
2017-03-27 12:23:39,100.0
2017-03-27 12:23:40,0.0
